Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1743185483,2025-03-28T18:11:23Z,SLI2460,"19.420721,-99.079887",0,0,210
1743185617,2025-03-28T18:13:37Z,SLI2460,"19.421093,-99.080154",0,0,300
1743185641,2025-03-28T18:14:01Z,SLI2460,"19.421219,-99.08036",0,2,300
1743185887,2025-03-28T18:18:07Z,SLI2460,"19.42149,-99.080849",0,0,300
1743185910,2025-03-28T18:18:30Z,SLI2460,"19.421618,-99.081078",0,2,300
1743185931,2025-03-28T18:18:51Z,SLI2460,"19.421768,-99.081337",0,4,300
1743185941,2025-03-28T18:19:01Z,SLI2460,"19.421885,-99.081558",0,6,300
1743185949,2025-03-28T18:19:09Z,SLI2460,"19.422035,-99.08181",0,8,300
1743185958,2025-03-28T18:19:18Z,SLI2460,"19.422293,-99.082039",0,9,337
1743185962,2025-03-28T18:19:22Z,SLI2460,"19.422512,-99.082062",0,9,354
1743185968,2025-03-28T18:19:28Z,SLI2460,"19.422758,-99.082047",0,9,2
1743185974,2025-03-28T18:19:34Z,SLI2460,"19.422966,-99.082047",0,9,2
1743185978,2025-03-28T18:19:38Z,SLI2460,"19.423187,-99.082039",0,9,2
1743185985,2025-03-28T18:19:45Z,SLI2460,"19.423485,-99.082024",0,9,2
1743185991,2025-03-28T18:19:51Z,SLI2460,"19.423746,-99.082069",0,10,345
1743185996,2025-03-28T18:19:56Z,SLI2460,"19.423954,-99.082161",0,10,334
1743186003,2025-03-28T18:20:03Z,SLI2460,"19.424229,-99.082306",0,10,331
1743186009,2025-03-28T18:20:09Z,SLI2460,"19.424469,-99.082451",0,10,331
1743186015,2025-03-28T18:20:15Z,SLI2460,"19.424725,-99.082596",0,9,331
1743186023,2025-03-28T18:20:23Z,SLI2460,"19.425003,-99.082756",0,9,331
1743186029,2025-03-28T18:20:29Z,SLI2460,"19.425213,-99.082886",0,7,329
1743186040,2025-03-28T18:20:40Z,SLI2460,"19.42543,-99.083069",0,5,317
1743186050,2025-03-28T18:20:50Z,SLI2460,"19.425585,-99.083282",0,6,303
1743186060,2025-03-28T18:21:00Z,SLI2460,"19.425716,-99.083557",0,6,292
1743186068,2025-03-28T18:21:08Z,SLI2460,"19.425808,-99.083794",0,7,292
1743186075,2025-03-28T18:21:15Z,SLI2460,"19.4259,-99.084007",0,7,292
1743186082,2025-03-28T18:21:22Z,SLI2460,"19.425993,-99.084236",0,8,295
